trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-206.33657779522412,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-293.35207456617195,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 5}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-131.91989609215796,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-175.15921932107605,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-140.4307561351449,"{0: 8, 1: 7, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-72.58399981963368,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-110.97027869481497,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-123.28180711365721,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,1,-51.726613875715636,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-143.24319413991836,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-222.06249541683553,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-134.07100395100372,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,5,-120.18225151219511,"{0: 6, 1: 4, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-87.93990952582953,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-99.21455177240048,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,2,-133.41478824387423,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-46.36220080696997,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-195.2941712094005,"{0: 9, 1: 1, 2: 4, 3: 4, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-61.7952083746321,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,10,-16.303182511452125,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-75.40987255333222,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,8,-18.34023798397642,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-76.62742800908913,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-64.96659872297063,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",30,0,-31.675221734847046,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,15,-34.26874874395817,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-99.93538270587524,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,0,-30.264879019426697,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,12,1.5140251233837865,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,3,-109.6238786736567,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 2}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-234.66325196549892,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,8,-52.01216043692368,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-57.5689652419026,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,5,-20.747002469182124,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-66.64212833464637,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",30,0,-97.8327422284281,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,0,-72.39637769305112,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",30,13,-127.55830784885767,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 2}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",20,0,-212.34307597376997,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,0,-9.782494570130899,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,12.809171576346278,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-64.36238900539824,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-21.19073884613257,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-139.7208299439816,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-11.900416819244363,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-24.329019644875483,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",30,18,-19.69934828941149,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,11,-9.088702337674281,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,2,-83.06695495680889,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",30,0,-72.64257973541508,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,-77.33432058199178,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,2,-96.1577864201891,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,11,-20.84666179300381,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,0,-146.69596655584198,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,0,-42.49658179628483,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-32.927874729120845,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
