trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.52633285364985,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-274.3235380763425,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.4715490406894,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.2652885475665,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.27652039170225,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.44467553027084,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.9393277092462,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.2603081219512,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.76465014505443,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.53630107401099,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.11603640297764,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.49347704168386,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.93916906394554,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.16094982544937,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.72089617677227,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.05846101643027,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.685684881778684,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.46984349627088,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.2332738263405,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,12,-107.98886031332817,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.04592055853506,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,11,-72.0082000418926,"{0: 4, 1: 3, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.32270032889195,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.25462769206794,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.88319534091363,"{0: 8, 1: 6, 2: 2, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.13004631476178,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-174.8799173340794,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-245.49906369298103,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,11,-58.89132651947556,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.65344278676665,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
